age,total_cases,death_cases,current_date,active_cases,re_rate,re_cases
20s,2628835,59,2022-06-01,3916.0,0.14896332405799526,5.833403770111095
20s,2631052,59,2022-06-02,2217.0,0.08426287279764899,1.868107889923878
20s,2633795,59,2022-06-03,2743.0,0.10414629840211558,2.85673296517003
20s,2636463,59,2022-06-04,2668.0,0.10119618595064675,2.699914241163255
20s,2638571,59,2022-06-05,2108.0,0.07989172927315581,1.6841176530781246
20s,2639678,59,2022-06-06,1107.0,0.04193693321685448,0.4642418507105791
20s,2641007,60,2022-06-07,1329.0,0.05032171440666382,0.6687755844645622
20s,2643959,60,2022-06-08,2952.0,0.1116507479881496,3.295930080610176
20s,2646954,60,2022-06-09,2995.0,0.11314892514188006,3.3888103079993077
20s,2649049,60,2022-06-10,2095.0,0.07908498483795506,1.6568304323551586
20s,2650904,60,2022-06-11,1855.0,0.06997612889791559,1.298057191056334
20s,2652365,60,2022-06-12,1461.0,0.05508291656691292,0.8047614110425978
20s,2653101,60,2022-06-13,736.0,0.027741122558093342,0.20417466202756698
20s,2655095,60,2022-06-14,1994.0,0.07510089092857317,1.497511765115749
20s,2657154,60,2022-06-15,2059.0,0.07748892235828259,1.5954969113570385
20s,2658875,60,2022-06-16,1721.0,0.0647266231018758,1.1139451835832823
20s,2660400,60,2022-06-17,1525.0,0.057322207186889185,0.87416365960006
20s,2661776,60,2022-06-18,1376.0,0.05169480827838255,0.7113205619105439
20s,2662879,60,2022-06-19,1103.0,0.04142133382703457,0.4568773121121913
20s,2663500,60,2022-06-20,621.0,0.02331518678430636,0.1447873099305425
20s,2665322,60,2022-06-21,1822.0,0.06835947026288006,1.2455095481896747
20s,2667134,60,2022-06-22,1812.0,0.06793809384905296,1.2310382605448396
20s,2668662,60,2022-06-23,1528.0,0.05725715733202631,0.8748893640333621
20s,2670109,60,2022-06-24,1447.0,0.05419254419950646,0.7841661145668586
20s,2671415,60,2022-06-25,1306.0,0.04888794889599706,0.6384766125817216
20s,2672537,60,2022-06-26,1122.0,0.04198258059663907,0.4710445542942904
20s,2673187,60,2022-06-27,650.0,0.024315545451926858,0.15805104543752457
20s,2675237,60,2022-06-28,2050.0,0.07662872485690053,1.570888859566461
20s,2677598,60,2022-06-29,2361.0,0.08817604435019745,2.081836407108162
20s,2679951,60,2022-06-30,2353.0,0.08780011276325574,2.0659366533194072
20s,2682246,61,2022-07-01,2295.0,0.085562621772947,1.9636621696891337
